epoch     train_loss  valid_loss  accuracy  time    
0         0.509049    0.343161    0.905864  00:07
1         0.149194    0.090199    0.974537  00:06
2         0.117649    1.162032    0.635802  00:07
3         0.082678    0.150976    0.942130  00:07
4         0.058304    0.077704    0.974537  00:06
5         0.043674    0.144917    0.948302  00:07
6         0.035544    0.113350    0.964506  00:06
7         0.027756    0.134373    0.959877  00:07
8         0.019066    0.065732    0.976852  00:07
9         0.015910    0.075799    0.973765  00:07
10        0.013108    0.124040    0.961420  00:07
11        0.006048    0.054641    0.983025  00:07
12        0.001965    0.086577    0.977623  00:07
13        0.003732    0.083571    0.978395  00:07
14        0.004263    0.081612    0.979938  00:07
15        0.001889    0.098803    0.974537  00:07
16        0.001263    0.080670    0.979167  00:08
17        0.000747    0.074067    0.980710  00:08
18        0.000399    0.074510    0.979938  00:07
19        0.000422    0.061605    0.981481  00:07
